key,value
ぽりぽり,ポリポリ
ホロッ,ほろほろ
ほろっ,ほろほろ
ボロッ,ぼろぼろ
ぼろっ,ぼろぼろ
ポロッ,ぽろぽろ
ぽろっ,ぽろぽろ
ホロホロ,ほろほろ
ほろほろ,ほろほろ
ボロボロ,ぼろぼろ
ぼろぼろ,ぼろぼろ
ポロポロ,ぽろぽろ
ぽろぽろ,ぽろぽろ
ホロリ,ほろほろ
ほろり,ほろほろ
ボロリ,ぼろぼろ
ぼろり,ぼろぼろ
ポロリ,ぽろぽろ
ぽろり,ぽろぽろ
ホワッ,ほわっ
ほわっ,ほわっ
ホワホワ,ほわっ
ほわほわ,ほわっ
マッタリ,まったり
まったり,まったり
マトワリツク,まとわりつく
まとわりつく,まとわりつく
ミルキー,ミルキー
ミルキィ,ミルキー
ムチムチ,むちむち
むちむち,むちむち
ムッチリ,むちむち
むっちり,むちむち
ムニュッ,むにゅっ
むにゅっ,むにゅっ
ムニュムニュ,むにゅっ
むにゅむにゅ,むにゅっ
モサモサ,もさもさ
もさもさ,もさもさ
モソッ,もそもそ
もそっ,もそもそ
モソモソ,もそもそ
もそもそ,もそもそ
モチッ,もちもち
もちっ,もちもち
モチモチ,もちもち
もちもち,もちもち
モッサリ,もさもさ
もっさり,もさもさ
モッタリ,もったり
もったり,もったり
モッチリ,もちもち
もっちり,もちもち
モロイ,もろい
もろい,もろい
モロッ,もろもろ
もろっ,もろもろ
モロモロ,もろもろ
もろもろ,もろもろ
ヤワラカイ,柔らかい
やわらかい,柔らかい
ユルイ,ゆるゆる
ゆるい,ゆるゆる
ゆるゆる,ゆるゆる
ユルユル,ゆるゆる
液状の,液状の
滑らか,なめらか
強靭な,強靭な
かるい,軽い
軽い,軽い
堅い,硬い
固い,硬い
糊状の,糊状の
口あたりがよい,口あたりがよい
口ざわりがよい,口ざわりがよい
口どけがよい,口どけがよい
硬い,硬い
糸を引く,糸を引く
歯ごたえがある,歯ごたえがある
歯ざわりがよい,歯ざわりがよい
歯切れがよい,歯切れがよい
柔らかい,柔らかい
柔軟な,柔軟な
重い,重い
芯がある,芯がある
水飴状の,水飴状の
切れやすい,切れやすい
舌ざわりがよい,舌ざわりがよい
舌に残る,舌に残る
弾力がある,弾力がある
弾力がある,弾力がある
弾力のある,弾力がある
軟らかい,柔らかい
乳状の,乳状の
濃厚な,濃厚な
皮ばった,皮ばった
蜜状の,蜜状の
裂けやすい,裂けやすい
