category,value,key
actions,寝かせる,E:let
actions,寝かせる,E:chill
actions,振り掛ける,振り掛ける
actions,振り掛ける,振掛ける
actions,振るう,振る一般+五段-ワア行
actions,振るう,ふる一般+五段-ワア行
actions,振るう,E:sift
actions,振るう,ふる
actions,振るう,ふるう
actions,深める,深める
actions,真ん中,真ん中
actions,吹きかける,吹きかける
actions,吹きかける,吹き掛ける
actions,吹きかける,ふきかける
actions,吹きかける,E:spray
actions,吹き出る,吹き出る
actions,吹き出る,吹きこぼれる
actions,吹き出る,ふきこぼれる
actions,吹き出る,溢れる
actions,吹き出る,こぼれる
actions,吹き出る,漏れる
actions,吹き出る,もれる
actions,吹き出る,噴き出す
actions,吹き出る,流れ出す
actions,吹き出る,流れ出る
actions,吹き出る,あふれでる
actions,吹き出る,あふれる
actions,吹き出る,E:blow out
actions,垂れる,垂れる
actions,垂直,垂直
actions,水気,水気
actions,水切り,水切り
actions,炊く,炊一般+五段-カ行
actions,炊く,たく
actions,炊く,炊き上がる
actions,炊く,炊きあがる
actions,炊く,炊き込む
actions,炊く,炊ける
actions,炊く,たける
actions,炊く,炊飯する
actions,炊く,E:cook
actions,澄む,澄む
actions,澄む,透き通る
actions,澄む,透きとおる
actions,澄む,すきとおる
actions,澄む,透ける
actions,澄む,すける
actions,澄む,E:clear
actions,整える,整え一般+下一段-ア行
actions,整える,調え一般+下一段-ア行
actions,整える,ととのえ一般+下一段-ア行
actions,整える,整う
actions,整える,調う
actions,整える,ととのう
actions,整える,整え直す
actions,整える,E:adjust
actions,整える,E:fix
actions,切る,切非自立可能+五段-ラ行
actions,切る,き非自立可能+五段-ラ行
actions,切る,切り揃える
actions,切る,切りそろえる
actions,切る,切り落す
actions,切る,切り落と一般+五段-サ行
actions,切る,きりおとす
actions,切る,切り取る
actions,切る,切りとる
actions,切る,きりとる
actions,切る,切り込む
actions,切る,きりこむ
actions,切る,切り付ける
actions,切る,切り離す
actions,切る,切り出す
actions,切る,切り合う
actions,切る,切り刻む
actions,切る,切りはずす
actions,切る,切れる
actions,切る,きれる
actions,切る,刻一般+五段-マ行
actions,切る,きざ一般+五段-マ行
actions,切る,契る
actions,切る,ちぎ一般+五段-ラ行
actions,切る,引きちぎる
actions,切る,ひきちぎる
actions,切る,ちぎれる
actions,切る,裂一般+五段-カ行
actions,切る,裂ける
actions,切る,さける
actions,切る,割く
actions,切る,さく
actions,切る,引き裂く
actions,切る,ひきさく
actions,切る,カットする
actions,切る,スライスする
actions,切る,スライス普通名詞-サ変可能+
actions,切る,スライス普通名詞-一般+
actions,切る,カット普通名詞-サ変可能+
actions,切る,みじん普通名詞-一般+名詞的-一般+
actions,切る,みじん名詞的-一般+
actions,切る,千切り普通名詞-一般+
actions,切る,千切一般+五段-ラ行
actions,切る,薄切り普通名詞-サ変可能+
actions,切る,細切り普通名詞-一般+
actions,切る,千切り普通名詞-サ変可能+
actions,切る,E:cut
actions,切る,E:chop
actions,切る,E:slice
actions,切る,E:drain
actions,切る,カット
actions,切る,切る
actions,切る,切れ
actions,折る,折一般+五段-ラ行
actions,折る,おる
actions,折る,折り曲げる
actions,折る,おりまげる
actions,折る,折り畳む
actions,折る,折りたたむ
actions,折る,おりたたむ
actions,折る,折り返す
actions,折る,折返す
actions,折る,折りかえす
actions,折る,おりかえす
actions,折る,折り込む
actions,折る,折込む
actions,折る,折りこむ
actions,折る,畳む
actions,折る,たたむ
actions,折る,折り重ねる
actions,折る,折畳む
actions,折る,折り合う
actions,折る,折れる
actions,折る,手折る
actions,折る,たたみこむ
actions,折る,E:fold
actions,折る,E:break
actions,折る,E:bend
actions,扇ぐ,扇ぐ
actions,扇ぐ,あおぐ
